timestamp,country,search_query,source_url,data_quality_rating,notes
2026-05-11T20:46:05.806099,Chad,Chad mini-grid solar deployment projects MW connections,https://www.pv-magazine.com/2026/02/03/chads-installed-pv-power-reaches-110-mw-enough-to-produce-37-of-its-electricity/,2,From search snippets
2026-05-11T20:46:08.786479,Chad,Chad mini-grid solar deployment projects MW connections,https://www.pv-magazine.com/2026/02/03/chads-installed-pv-power-reaches-110-mw-enough-to-produce-37-of-its-electricity/,2,From full page fetch
2026-05-11T21:03:20.195228,Chad,Chad mini-réseau solaire déploiement électrification rurale,https://leconomistedumali.com/tchad-lelectrification-acceleree-par-les-mini-reseaux-solaires-via-une-phase-pilote-de-120-millions-de-dollars/,2,From search snippets
2026-05-11T21:26:27.674425,Chad,Chad mini-grid solar deployment projects MW connections,https://businessday.ng/energy/article/how-reas-abba-aliyu-is-making-nigeria-africas-off-grid-energy-blueprint/,2,From search snippets
2026-05-11T21:26:29.419310,Chad,Chad mini-grid solar deployment projects MW connections,https://businessday.ng/energy/article/how-reas-abba-aliyu-is-making-nigeria-africas-off-grid-energy-blueprint/,1,From full page fetch
2026-05-11T21:51:00.063305,Chad,Chad mini-réseau solaire déploiement électrification rurale,https://africaminigrids.org/fr/minigrid-pilot-project-to-illuminate-mandalia-chad/,1,From full page fetch
2026-05-11T22:13:21.698540,Niger,Niger mini-grid solar deployment projects MW connections,https://energyalliance.org/partnerships-for-power-unlocking-scale-for-interconnected-minigrids-in-nigeria/,2,From search snippets
2026-05-11T22:18:37.470346,Niger,Niger mini-grid solar deployment projects MW connections,https://www.greenbuildingafrica.co.za/ifc-and-norfund-back-us83-2-million-nigeria-mini-grid-energy-access-drive-targeting-500000-connections/,1,From full page fetch
2026-05-13T12:13:20.682886,Niger,Niger mini-grid solar deployment projects MW connections,https://powerafrica.medium.com/a-blueprint-for-rural-electrification-building-a-market-for-mini-grids-in-niger-da0dcdd9c858,2,From search snippets
2026-05-13T12:13:23.912998,Niger,Niger mini-grid solar deployment projects MW connections,https://powerafrica.medium.com/a-blueprint-for-rural-electrification-building-a-market-for-mini-grids-in-niger-da0dcdd9c858,1,From full page fetch
2026-05-13T12:13:33.962516,Niger,Niger mini-grid solar deployment projects MW connections,https://energyalliance.org/partnerships-for-power-unlocking-scale-for-interconnected-minigrids-in-nigeria/,1,From full page fetch
2026-05-13T12:13:57.778233,Niger,Niger off-grid electrification rural energy access report,https://www.worldbank.org/en/news/feature/2023/12/04/securing-electricity-in-niger-through-renewable-energy,1,From full page fetch
2026-05-13T12:15:31.303587,Niger,Niger mini-grid private developer BBOXX Engie PowerGen Ignite,https://www.canarymedia.com/articles/grid-edge/minigrids-could-bring-power-to-half-a-billion-people-in-africa-and-asia,2,From search snippets
2026-05-13T12:15:46.218986,Niger,Niger mini-grid private developer BBOXX Engie PowerGen Ignite,https://microgridnews.com/powergen-minigrids-under-the-nigerian-grid/,1,From full page fetch
2026-05-13T12:23:23.324268,Morocco,Morocco mini-grid solar deployment projects MW connections,https://en.wikipedia.org/wiki/Solar_power_in_Morocco,2,From search snippets
2026-05-13T12:23:27.286240,Morocco,Morocco mini-grid solar deployment projects MW connections,https://en.wikipedia.org/wiki/Solar_power_in_Morocco,1,From full page fetch
